Year,Type of revenue,Value
a)2019 - 2020 January,VAT,102.68
b)2019 - 2020 February,VAT,108.04
c)2019 - 2020 March,VAT,99.23
d)2019 - 2020 April,VAT,76.73
e)2019 - 2020 May,VAT,69.59
f)2019 - 2020 June,VAT,93.0
g)2019 - 2020 July,VAT,98.56
h)2019 - 2020 August,VAT,84.9
a)2019 - 2020 January,Customs,102.24
b)2019 - 2020 February,Customs,109.0
c)2019 - 2020 March,Customs,90.08
d)2019 - 2020 April,Customs,56.7
e)2019 - 2020 May,Customs,63.74
f)2019 - 2020 June,Customs,89.74
g)2019 - 2020 July,Customs,92.66
h)2019 - 2020 August,Customs,82.75
